name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
3-A OFTENO,01%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco gotero x 5 mL
3DT BIOTIC,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
3-GEL,582 mg + 196 mg + 20 mg,Suspensión Oral,SUSPENSION,Caja Sobre x 10 mL
44,,Jarabe,SOLUCION,Frasco x 120mL
44,,Jarabe,SOLUCION,Frasco x 120 mL
5 FLUCEL 250,250 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampollas
5 FLUCEL 500,500 mg/10 mL,Solución Inyectable,INYECTABLE,Caja Ampollas
A FOLIC,0.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
AACHIZDOL FORTE,,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
AAS 81,81 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
AASCARD,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
AASCARD,100 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tableta de Liberación Retarda
AB AMBROMOX,1200 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Ampolla x 5 mL
AB AMBROMOX,600 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
AB AMBROMOX,1 200 mg,Polvo para Solución Inyectable,INYECTABLE,Vial + Accesorios
AB AMBROMOX,1 200 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Solvente
AB BRONCOPEN R NF,300 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Solvente x 3 mL
AB BRONPAMOX,600 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Ampolla x 5 mL
AB BRONPAMOX,1200 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Envase Vial + Ampolla x 5 mL
AB MOKS,250 mg + 15 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorio
AB MOKS,250 mg + 15 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 105 mL
AB MOKS,250 mg + 15 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 75 mL
AB MOKS FORTE,,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 70 mL
ABACAVIR,300 mg,Tableta Recubierta,TABLETA,Caja Frasco Tabletas Recubiertas
ABACAVIR,300 mg,Tableta Recubierta,TABLETA,Caja Frasco Tabletas
ABACAVIR,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
ABACAVIR SULFATO,300 mg,Tableta,TABLETA,Caja Frasco x 60 tabletas
ABACAVIR SULFATO Y LAMIVUDINA,600 mg + 300 mg,Tableta Recubierta,TABLETA,Caja Frasco x 30 Tabletas Recubiertas
ABACAVIR SULFATO Y LAMIVUDINA,600 mg + 300 mg,Tableta Recubierta,TABLETA,Caja Frasco Tableta Recubierta
AB-BRONCOL NF 1200,1000 mg + 200 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Ampolla solvente x 5 mL
AB-BRONCOL NF 1200,1000 mg + 200 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Solvente x 5 mL
AB-BRONCOL NF 600,,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Solvente x 5 mL
AB-BRONCOL NF 600,600 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja 1 Vial + 1 Ampolla Solvente x 5 mL
ABFLEXIL,7.5 mg + 0.005 mg / 5 mL,Jarabe,SOLUCION,Caja Envase Frasco x 120 ml + accesorio
ABIPRO,250 mg,Tableta,TABLETA,Caja Frasco Tableta
ABIRAGLOB 250,250 mg,Tableta,TABLETA,Caja Frasco x 120 Tabletas
ABIRATERONA,250 mg,Comprimido,TABLETA,Caja Frasco Comprimidos
ABIRAVITAE,250 mg,Comprimido,TABLETA,Caja Frasco x 120 Comprimidos
ABLNIVELAN,2 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
ABLNIVELAN,1 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
ABLNIVELAN,1 mg/ mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 30 mL
ABLNIVELAN,1 mg/mL,Solución Oral,SOLUCION,Caja Frasco x 30 mL
AB-MOKS,500 mg + 30 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
AB-MOKS FORTE,,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ABRAXANE,100 mg,Polvo Para Suspensión Para Perfusión,INYECTABLE,Caja Vial
ABUBRON - AB,(250 mg + 15 mg)/ 5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ABUBRON - AB,500 mg + 30 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ABUBRON AB,(250 mg + 15 mg) / 5 mL,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ABUBRON BR,500 mg + 8 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
ABUFENE,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
ABXEDA,400 mg/ 16 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 16 mL
ABXEDA,100 mg/ 4 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 4 mL
AC LASH,0.03 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco X 3 mL
ACARIL,10 g + 10 g,Crema,CREMA,Caja Tubo x 42 g
ACARIL,10 g + 10 g,Crema,CREMA,Tubo x 42 g
ACARIL S,30 %,Loción,LOCION,Caja Frasco x 60 mL
ACCOPRIL-20,20 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ACCUPRIL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ACCUPRIL,40 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ACECNOU 3G,3 g,Granulos para Solución Oral,GRANULOS,Caja Sobre x 8 g
ACELIN,325 mg + 10 mg + 4 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
ACEMUK,2 g/100 mL,Granulos para Suspensión Oral,GRANULOS,Frasco X 100 mL
ACEMUK 200,200 mg,Comprimido Efervescente,TABLETA,Caja Envase Blíster Comprimidos
ACEMUK 200,200 mg,Comprimido Efervescente,TABLETA,Caja Tubo Comprimidos
ACEMUK 600,600 mg,Comprimido Efervescente,TABLETA,Caja Tubo Comprimidos
ACEMUK 600,600 mg,Comprimido Efervescente,TABLETA,Caja Envase Folio Comprimidos Efervescente
ACEMUK 600,600 mg,Comprimido Efervescente,TABLETA,Caja Envase Blíster Comprimidos
ACEMUK DIA Y NOCHE,,Comprimido Efervescente,TABLETA,Caja Sobre Comprimido Efervescente
ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido de Disolución Bucal,TABLETA,Caja Envase Blíster Comprimidos
ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido de Disolución Bucal,TABLETA,Caja Envase Blíster Comprimidos de Disolución Bucal
ACEPOT,,Suspensión Inyectable,INYECTABLE,Caja Ampolla x 1 mL
ACETAK,250 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACETALITO,120 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
ACETATO DE MEDROXIPROGESTERONA,150 mg/ mL,Suspensión Inyectable,INYECTABLE,Caja Vial x 1 mL
ACETAZOLAMIDA,250 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ACETAZOLAMIDA,250 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACETILCISTEINA,600 mg,Granulos para Solución Oral,GRANULOS,Caja Sobre x 2 g
ACETILCISTEINA,200 mg,Granulos para Solución Oral,GRANULOS,Caja Envase Sobres x 2 g
ACETILCISTEINA,200 mg,Granulos para Solución Oral,GRANULOS,Caja Envase Sobre x 2 g
ACETILCISTEINA,200 mg,Granulos para Solución Oral,GRANULOS,Caja Sobre x 3 g
ACETILCISTEINA,600 mg,Polvo para Solución Oral,SOLUCION,Caja Sobre x 2.5 g
ACETOSODIUM,27.22 %,Solución Inyectable,INYECTABLE,Caja Ampolla x 20 mL
ACEVIR,250 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Ampolla Solvente x 10 mL
ACEVIR,250 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Solvente Ampolla x 10 mL
ACEVIR,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACI - TIP,800 mg + 40 mg,Comprimido Masticable,TABLETA,Caja Envase Blister Comprimido Masticable
ACI BASIC,,Suspensión Oral,SUSPENSION,Frasco x 150 mL
ACI BASIC,400 mg + 30 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 150 mL
ACI BASIC,400 mg + 30 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco x 220 mL
ACI BASIC,400 mg + 30 mg/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 220 mL
ACI BASIC UVA,800 mg + 60 mg/ 10 mL,Suspensión Oral,SUSPENSION,Frasco x 150 mL
ACI BASIC UVA,,Suspensión Oral,SUSPENSION,Frasco X 150 mL
ACI TIP,800 mg + 40 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos
ACI TIP,800 mg + 40 mg,Comprimido Masticable,TABLETA,Caja Envase Blister Comprimido Masticable
ACICLAV,500 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ACICLAV,500 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ACICLAV,875 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ACICLAV,250 mg + 62.5 mg,Polvo para Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ACICLAV,875 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ACICLOVIR,800 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ACICLOVIR,400 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACICLOVIR,5 %,Crema,CREMA,Caja Tubo x 5 g
ACICLOVIR,400 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
ACICLOVIR,200 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
ACICLOVIR,400 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ACICLOVIR,5 %,Ungüento,UNGUENTO,Caja Tubo x 15 g
ACICLOVIR,200 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
ACICLOVIR,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACICLOVIR,5 %,Ungüento,UNGUENTO,Caja Tubo x 15g
ACICLOVIR,800 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ACICLOVIR,800 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
ACICLOVIR,250 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ACICLOVIR,250 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Ampolla Solvente x 10 mL
ACICLOVIR,800 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACICLOVIR,200 mg,Tableta,TABLETA,Frasco Tabletas
ACICLOVIR,3 %,Ungüento Oftálmico,UNGUENTO OFTALMICO,Caja Tubo x 5 g
ACICLOVIR,3 %,Ungüento Oftálmico,UNGUENTO OFTALMICO,Tubo X 3.5 g
ACICLOVIR,5 %,Crema,CREMA,Tubo X 15 g
ACIDINO,800 mg + 40 mg,Tableta Masticable,TABLETA,Caja Envase Blister Tabletas Masticables
ACIDO ACETILSALICILICO,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACIDO ACETILSALICILICO,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACIDO ACETILSALICILICO,100 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
ACIDO ACETILSALICILICO,100 mg,,TABLETA,Caja Envase Blister Tabletas
ACIDO ALENDRONICO,70 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ACIDO ALENDRONICO,70 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACIDO ALENDRÓNICO,70 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ACIDO FOLICO,0.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ACIDO FUSIDICO,2%,Crema,CREMA,Caja Tubo x 15 g
ACIDO FUSIDICO,2 %,Crema,CREMA,Caja Tubo x 15 g.
ACIDO FUSIDICO,2%,Crema Tópica,CREMA,Caja Tubo x 15 g
ÁCIDO IBANDRÓNICO,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
ÁCIDO IBANDRÓNICO,150 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ACIDO MICOFENOLICO,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ACIDO PAMIDRONICO,90 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ACIDO PAMIDRONICO,90 mg,Polvo para Solución Inyectable,INYECTABLE,Caja vial + Solvente
ACIDO TRANEXAMICO,1 g/10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
ACIDO TRANEXAMICO,1 g / 10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
ACIDO TRANEXAMICO,1 g/ 10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
ACIDO TRANEXÁMICO,1g/ 10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10mL
ACIDO VALPROICO,250 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 120 mL
ACIDO ZOLEDRONICO,4 mg,Polvo para Solución Inyectable,INYECTABLE,Caja vial+ Solvente
ACIDO ZOLEDRONICO,4 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ACIDO ZOLEDRONICO,5 mg/100 mL,Solución para Perfusión,INYECTABLE,Caja Frasco x 100 mL
ÁCIDO ZOLEDRONICO,4 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
ÁCIDO ZOLEDRÓNICO,4 mg/ 5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial
ACIDOR EXTRA RAPID,,Suspensión Oral,SUSPENSION,Caja Frasco x 150 mL + Accesorio
ACIDOR EXTRA RAPID,,Suspensión Oral,SUSPENSION,Frasco x 150 mL
ACIDPLUS,262 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos Masticables
ACIMED® 500,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
ACINIL-P,40 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
ACINIL-P-40,40 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tabletas de Liberación Retardada
ACIOO TRANEXAMICO,1 g / 10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
ACI-TIP,800 mg + 60 mg/ 10 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 200 mL + Accesorios
ACI-TIP,800 mg + 60 mg/ 10 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorios
ACI-TIP,800 mg + 60 mg/10 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL + Accesorios
ACI-TIP,800 mg + 60 mg/10 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 200 mL + Accesorios
ACITRANESA,1 g/ 10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
ACITREXOL,25 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
ACITREXOL,25 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ACIVICLOR,5 %,Crema,CREMA,Tubo X 15 g
ACIVICLOR,200 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
ACIVICLOR,5 %,Crema,CREMA,Tubo X 5 g
ACIVICLOR,5 %,Crema,CREMA,Caja Tubo x 5g
ACLASTA,5 mg /100 mL,Solución para Perfusión,INYECTABLE,Caja Vial x 100 mL
ACNEBIOT,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ACNECLIN 100 AP,100 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsulas
ACNOIC,0.1 %/ 2.5 %,Gel,JALEA,Caja Tubo x 30 g
ACNOMEL,,Crema,CREMA,Caja Tubo x 30 g
ACNOTIN,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ACNOTIN,20 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
ACNUPLAST,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ACOXX,60 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas
ACOXX,90 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas
ACOXX,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas
ACRYLARM,"0,2 %",Gel Oftálmico,GEL,Caja Tubo x 10 g
ACTEMRA,80 mg/4 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 4 mL
ACTEMRA,200 mg/10 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 10 mL
ACTEMRA,162 mg/0.9 mL,Solución Inyectable,INYECTABLE,Caja Jeringa Prellenadas x 1 mL + Accesorios
ACTERIL,5 mg/mL,Solución para Nebulización,AEROSOL,Caja Frasco Gotero x 10 mL
ACTILYSE,50 mg,Polvo para Solución Inyectable,INYECTABLE,Vial
ACTILYSE,50 mg,Polvo para Solución Inyectable,INYECTABLE,Vial + Solvente x 50 mL
ACTIVA 21,0.15 mg + 0.03 mg,Grageas,TABLETA,Caja Envase Blíster x 21 Grageas
ACTIVA 28,,Grageas,TABLETA,Caja Envase Blister Grageas
ACTIVA 28,,Grageas,TABLETA,Caja Grageas
ACTUALAX,5 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blíster Tableta de Liberación Retardada
ACUDOPIK,10 mg,Tableta Dispersable,TABLETA,Caja Envase Blister Tabletas Dispersables
ACULAR LS,0.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco gotero x 5 mL
ACULAR LS,0.4 %,Solución Oftálmica,SOLUCION OFTALMICA,Frasco X 5 mL
ACUREN,25 mg,Tableta,TABLETA,Caja Envase Blister Tableta
ADACEL,,Suspensión Inyectable,INYECTABLE,Caja Frasco X 0.5 mL
ADAX,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ADAX,600 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ADAX,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
ADAX,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 120 mL
ADAX,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ADAX FLU,100 mg + 15 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ADAX FLU,200 mg + 30 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ADAX FLU FORTE,200 mg + 30 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
ADAX FLU FORTE,(200 mg + 30 mg)/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
ADCETRIS,50 mg,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial
ADDAVEN,,Concentrado para Solución para Perfusión,INYECTABLE,Caja Ampolla x 10 mL
ADECEROL,,Emulsión Oral,EMULSION,Vial X 10 mL
ADENOCIL,6 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
ADENOCIL,6 mg/ 2 mL,Suspensión Inyectable,INYECTABLE,Caja Ampolla x 2 mL
ADENOZ 6,6 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
ADEPROST,"0,4 mg",Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsulas
ADMENTA 10,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ADMENTA 5,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ADOLQUIR,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ADOLQUIR,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ADONA (AC 17),30 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ADONA (AC-17),30 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ADRENIL,1 mg/1 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
ADREPINE,1 mg/ mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
ADULAX,16 g + 6 g/ 100 mL,Solución Rectal,ENEMA,Caja Frasco x 133 mL
AERIDIN,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
AERIUS,2.5 mg /5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL + accesorio
AERIUS,2.5 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL + accesorio
AERIUS,2.5 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 120 mL + accesorio
AERIUS,2.5 mg/ 5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL + Accesorio
AERIUS,2.5 mg/ 5 mL,Solución Oral,SOLUCION,Caja Frasco x 150 mL + Accesorio
AERIUS,5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
AERIUS,2.5 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL
AERIUS,2.5 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 120 mL
AERO ITAN,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
AERO ITAN,,Cápsula,CAPSULA,Caja Envase Blister Capsulas
AERO MOTIL,25 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
AERO OM,40 mg,Comprimido Masticable,TABLETA,Caja Envase Blister Comprimidos
AERO OM FORTE - SABOR ANIS,125 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos Masticables
AERO OM FORTE SABOR ANIS,125 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos
AERO OM SABOR A FRESAS,100 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco gotero x 15mL
AERO OM SABOR A FRESAS,100 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco gotero x 60 mL
AERO OM SABOR ANIS,100 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
AERO OM SABOR ANIS,80 mg,Comprimido Masticable,TABLETA,Caja Envase Blister Comprimidos
AERO OM SABOR ANIS,100 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco x 15mL
AERO OM SABOR ANIS,100 mg/mL,Suspensión Oral,SUSPENSION,Frasco X 15 mL
AERO OM SABOR ANIS,80 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos
AERO OM SABOR ANIS,100 mg/mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
AERO SIM COMPUESTO,1 mg + 80 mg/mL,Suspensión Oral,SUSPENSION,Caja Frasco x 15mL
